Time,BallX,BallY,VelX,VelY,Pitch,Roll,TargetX,TargetY
1701086540.139484,-11,332,-28840.485884345053,-40304.078448922584,0.2879793265790644,-0.10973079333474232,0,0
1701086540.170632,-7,276,-544.7619211466148,13861.247506046966,-0.2879793265790644,0.038868511421134795,0,0
1701086540.2076411,-4,211,44.07455352670191,33.07042103984442,-0.2879793265790644,0.024636014547934185,0,0
1701086540.243511,-3,175,54.49500583028338,-750.9041835028083,-0.2446890036285775,0.007569526894235674,0,0
1701086540.268497,-4,160,103.99543066301241,-585.3221394529229,-0.11714569791956951,-0.015091363769817784,0,0
1701086540.302773,-5,140,-10.345902715970018,0.028938086853817834,-0.11715435884162667,-0.011994923514919988,0,0
1701086540.3375418,-6,122,1.165100549847145,-53.42093473676402,-0.10094474652793545,-0.01234845211400857,0,0
1701086540.369575,-7,105,4.632020754201728,33.876369676308144,-0.11041462986676882,-0.01364329853894951,0,0
1701086540.436207,-8,91,-8.04740538039222,-175.54548621709415,-0.008387309175251547,-0.008966133507975522,0,0
1701086540.469763,-8,83,-16.36305377739712,37.78839654643379,-0.01946385943624599,-0.004169788487990838,0,0
1701086540.501371,-7,80,-38.63275203461834,-169.71002985837112,0.027332894477798655,0.00648301377416825,0,0
1701086540.534046,-8,79,73.17903388286324,-76.3966260268992,0.04912547222385336,-0.0143917272741073,0,0
1701086540.566443,-7,80,-72.18943681960683,-76.53943681960685,0.07076243535569728,0.006015532667662829,0,0
1701086540.599068,-6,83,-0.817955848273125,-78.44972128050648,0.09310378216504313,0.00624847467156952,0,0
1701086540.6339011,-3,85,-63.49689803514107,30.313312321981456,0.08389169360250422,0.0255449158500566,0,0
1701086540.666102,-2,90,62.85054088162385,-125.30795410371456,0.11911846868322094,0.0078762699674029,0,0
1701086540.700106,0,94,-33.28772405635914,31.437384902095648,0.10979076538111643,0.01775298250462628,0,0
1701086540.7314692,3,95,-48.54043627961757,96.37721346039456,0.08342073055678918,0.03103426496884241,0,0
1701086540.764858,4,95,72.29174843686708,31.083793259973177,0.07436693044976461,0.009977792412208728,0,0
1701086540.797329,5,95,-2.657648832752389,-4.75,0.07571091549981912,0.010729758791053784,0,0
1701086540.83075,7,92,-35.41796787423091,99.8281670577385,0.046548731547994486,0.021076190312237075,0,0
1701086540.8654258,8,88,31.72714259495238,28.60757135084892,0.03789119913849386,0.011474579539063315,0,0
1701086540.8978229,9,82,-4.219393658278054,85.32201325411619,0.013787107867923634,0.012666589033057445,0,0
1701086540.929993,9,76,35.52984687356397,5.778985415785955,0.012163472022834404,0.0026842947713571303,0,0
1701086540.9632819,10,68,-35.660223383440425,68.03918491760666,-0.007611035162773573,0.013048371654261579,0,0
1701086540.996707,8,59,103.20184143966895,41.94518797063252,-0.019839350835455266,-0.01703814735263572,0,0
1701086541.028998,9,50,-107.28992341870108,20.75042403726058,-0.02568841553944816,0.01320440109049827,0,0
