Time,BallX,BallY,VelX,VelY,Pitch,Roll,TargetX,TargetY
99,-24,82,-9572.253454528813,-9329.378652888681,-0.2879793265790644,-0.2879793265790644,21.894119072431945,148.35759288271888
134,-28,55,-362.83332499013153,276.3332425702033,-0.2879793265790644,-0.2879793265790644,29.290027673859026,146.99191167439943
165,-32,51,57.42104949397982,-2115.4603015574953,-0.18010772093737326,-0.2879793265790644,35.689566909926164,145.41185052679407
198,-38,53,208.79653086988145,-645.4983871509328,0.0014901335364853091,-0.2879793265790644,41.892490825661376,143.46226602002386
232,-42,54,-201.68679516795132,56.54445957281467,-0.015269258906034658,-0.2879793265790644,48.00292848851916,141.04556646408278
265,-46,54,2.910809549279838,50.35868112330753,-0.029933603102641947,-0.2879793265790644,53.521676814206884,138.31474731471752
299,-44,55,-564.1969875819323,-130.88763424632043,0.009301220034594113,-0.2050919688334328,58.64238378280992,135.1418345519579
363,-39,55,-64.15345602151565,11.818114854322047,0.002694333096009943,-0.16922714302336916,66.49326068960019,128.2733053633165
397,-37,56,-23.727570666012326,-152.7225936602474,0.047135062357840214,-0.1623226600733545,69.6256270459521,124.22535932158267
431,-31,56,-421.23111619206793,47.358391421782166,0.03304012454267423,-0.03695466909447661,72.10904265579434,119.76380673227958
464,-30,53,393.3838379982324,253.51380262411453,-0.03956625101488839,-0.14961983518929567,73.78696856921133,115.17448036244807
494,-28,51,-186.72769298724708,-123.52845089470028,-0.006486155654899662,-0.09961540426160367,74.70954440232059,110.63062733491037
529,-23,51,-310.0553990714808,-234.14752422812367,0.0645908875058782,-0.005496019251301429,74.99001452869575,105.19709065785565
561,-17,49,-230.72671002691663,161.61616791114358,0.019222322532239437,0.05927311783630253,74.52317613338833,99.9171840768467
596,-9,49,-225.93514547859624,-225.9437314966531,0.08777990364236204,0.12782809371092935,73.23893699320199,93.94895471315004
663,-5,47,196.8754259689799,11.747530922286938,0.08095713246990313,0.013486110722964491,68.57944446272438,81.82712495253142
696,-2,46,-211.10706291840648,-48.77855365331874,0.09511253088436092,0.07474878376068249,65.21447773224736,75.45711813196468
726,-1,44,113.06066501840778,87.60729740182477,0.07197068032517555,0.044883314883387655,61.58666976997634,69.49514919561268
758,-2,45,137.15892862442004,-353.59120584468167,0.171486107711184,0.006281027337068323,57.16380721817986,62.9856827409822
