Time,BallX,BallY,VelX,VelY,Pitch,Roll,TargetX,TargetY
100,5,31,-9997.861172962464,-10009.567743126707,0.01217367153266045,0.001963495408493621,0,0
124,4,32,1.895454572843127,-1.8954545728431234,0.012566370614359171,0.0015707963267948964,0,0
156,3,32,1.4034448195351183,0.0,0.012566370614359171,0.0011780972450961724,0,0
188,4,32,-1.3921511760844387,0.0,0.012566370614359171,0.0015707963267948964,0,0
222,5,33,-1.3181437121566604,-1.3181437121566646,0.012959069696057897,0.001963495408493621,0,0
255,5,33,0.0,0.0,0.012959069696057897,0.001963495408493621,0,0
289,5,34,0.0,-1.3214383331466317,0.013351768777756621,0.001963495408493621,0,0
321,5,32,0.0,2.8235175849327594,0.012566370614359171,0.001963495408493621,0,0
354,5,34,0.0,-2.724065379758256,0.013351768777756621,0.001963495408493621,0,0
387,5,34,0.0,0.0,0.013351768777756621,0.001963495408493621,0,0
420,5,34,0.0,0.0,0.013351768777756621,0.001963495408493621,0,0
453,5,36,0.0,-2.7647257519939674,0.014137166941154071,0.001963495408493621,0,0
486,6,38,-1.3760940222661295,-2.7521880445322537,0.014922565104551517,0.002356194490192345,0,0
521,5,43,1.2822086656431302,-6.411043328215651,0.01688606051304514,0.001963495408493621,0,0
556,3,47,2.5476123180336496,-5.095224636067305,0.01845685683984004,0.0011780972450961724,0,0
586,1,53,2.9825808286716606,-8.947742486014981,0.020813051330032382,0.0003926990816987241,0,0
618,-2,60,4.207081061000075,-9.816522475666838,0.02356194490192345,-0.0007853981633974482,0,0
652,-6,68,5.35982847974556,-10.719656959491115,0.026703537555513242,-0.002356194490192345,0,0
684,-11,75,7.129074756753489,-9.980704659454885,0.02945243112740431,-0.004319689898685966,0,0
717,-16,84,6.6799626263484235,-12.023932727427171,0.03298672286269283,-0.006283185307179586,0,0
753,-23,92,8.88319018899893,-10.152217358855905,0.03612831551628262,-0.009032078879070655,0,0
815,-30,101,5.030194589861227,-6.467393044107293,0.03966260725157114,-0.011780972450961725,0,0
884,-44,113,9.190612983110269,-7.877668271237375,0.04437499623195583,-0.017278759594743863,0,0
916,-47,119,4.179196976854046,-8.358393953708092,0.04673119072214818,-0.01845685683984004,0,0
949,-51,123,5.534031548701099,-5.534031548701099,0.04830198704894307,-0.02002765316663493,0,0
982,-54,127,4.0839761408469055,-5.44530152112919,0.049872783375737965,-0.021205750411731106,0,0
1015,-55,129,1.3565701882371521,-2.7131403764743043,0.05065818153913541,-0.02159844949342983,0,0
1048,-55,130,0.0,-1.3656988632663793,0.05105088062083414,-0.02159844949342983,0,0
1082,-55,133,0.0,-3.9866722053636114,0.052228977865930316,-0.02159844949342983,0,0
1114,-57,134,2.8201636123209743,-1.4100818061604872,0.05262167694762904,-0.022383847656827275,0,0
1148,-59,137,2.614667285434266,-3.9220009281513795,0.053799774192725205,-0.023169245820224726,0,0
1180,-59,139,0.0,-2.8345637629249127,0.05458517235612265,-0.023169245820224726,0,0
