Time,BallX,BallY,VelX,VelY,Pitch,Roll,TargetX,TargetY
111,-4,5,-8903.492844654596,-8479.051302202255,-0.2879793265790644,-0.10225830124345657,24.491958029871505,147.92983980259342
135,-5,4,3.959545256661278,-2139.952328828774,-0.06469132338040336,-0.1030877652648591,29.529117879779598,146.9399014236833
167,-5,4,-50.304098907416815,-58.75078995836304,-0.048259427120844085,-0.08901830789648854,36.01129296733453,145.32151751845427
200,-7,4,76.70826548194758,-8.764511573329925,-0.045773359186262685,-0.11077673191549783,42.24528640810037,143.33724712898928
233,-5,5,-151.66545828082477,-46.10524013851401,-0.0322924506112957,-0.06643061917599773,48.2506917931341,140.93529542280058
266,-5,9,64.82421371880837,-124.54701944854145,0.003799693467841535,-0.08521585283084787,53.72210960602673,138.20356445658334
299,-5,11,-9.61965886478907,59.249346422418405,-0.013046174006356383,-0.08248077627442675,58.57289337246272,135.19012229122748
365,-5,17,-7.026255815947419,-29.908640330691817,0.004258493641308229,-0.07841549546065237,66.67384544346729,128.0694817857662
398,-3,23,-105.04658574108683,-139.40487337241575,0.044110970393219845,-0.048385220945567034,69.72204058740273,124.07916961607059
431,1,28,-95.87783243393504,19.551032997668596,0.038464610657699044,-0.02069559796510675,72.1181218625822,119.74390774879144
464,5,35,-26.808083112070726,-98.05646663753562,0.06658553029898913,-0.013007497661449782,73.79464371807501,115.14698177065944
495,9,43,-35.9491910219743,-79.54011175282041,0.0883280330101942,-0.003180689953536428,74.72568993356549,110.5047645587405
530,13,51,-13.742076064903545,3.120591873051283,0.08738815818994919,0.0009582143943319035,74.98786892007674,105.10787749260477
563,20,58,-142.99408173251484,4.70669262711953,0.08600176375180722,0.043078279439348825,74.46737984965456,99.55721480715543
597,27,66,-37.116392223497876,-63.055194916880914,0.10446576779321826,0.053946808462542614,73.19373351093277,93.78631389578865
637,34,72,1.2993204037059813,66.88660407470113,0.0810163710754437,0.053491287061336885,70.69571439640835,86.56591399479574
663,39,75,-72.9486924855296,28.342845879741674,0.07461653690986729,0.06996315218327623,68.54088562311084,81.7473957168069
694,44,79,7.635016034925355,-38.500170677841886,0.08501513995473331,0.06790099246838258,65.42247690721794,75.82261702126634
732,51,82,-59.39533263024441,33.512649252930885,0.07395049256458938,0.08751115241765871,60.848016471855374,68.35948584782452
762,54,82,77.66698043790755,89.04235823001578,0.0507356156690263,0.06726203249814229,56.67916142712233,62.30939522398125
794,56,83,17.80243032597488,-56.35874392668411,0.0665107974098958,0.06227901559154205,51.697986059935616,55.67507606251598
830,59,83,-51.46668605614651,18.303440392053503,0.06069304235252569,0.07863772011242656,45.46431950428578,47.98603434090553
863,62,81,-43.68630489826345,62.67269288901581,0.04296890264430828,0.09099241775919562,39.459619283303496,41.023665733431855
926,61,80,47.9580747375675,-43.372003521496886,0.06701521771425428,0.06440349214694008,26.662269644785916,27.10864618927511
961,60,79,-10.044313223262769,-0.5258015059230375,0.06717509848241482,0.0674576722808694,19.20231078857922,19.36434885367734
993,57,75,64.55636820506203,108.76122082830427,0.03656376178755679,0.04928799095629105,12.108544144286832,12.148452542671418
1026,55,72,-53.63186748021638,-51.06140502423213,0.051363258029692126,0.06483250291900508,4.685816472465607,4.688106739146621
1061,52,69,20.95101799957268,-13.729187921998502,0.055480513313096204,0.05854948821766082,-3.042405880023699,-3.0430321358706607
1092,45,65,171.76601682963124,43.54188513671641,0.04356789471760057,0.011556046391839405,-10.066761287082567,-10.089612169579524
1125,40,59,-88.20398357071498,64.27038455181959,0.02526635644669086,0.03667288040836201,-17.28247066081351,-17.399932986703437
1158,34,54,32.14388450584293,-47.22125540681916,0.03908880998925764,0.027263826234942383,-24.526692995882616,-24.870948306876183
1191,28,47,9.32910751072392,75.87962624454013,0.017334302214569983,0.024589193373429786,-31.381878035495962,-32.12744144477164
1224,19,40,124.17929363244576,-0.6144280638949075,0.017510000894165115,-0.010920476848939131,-37.91594551186628,-39.287447167469026
1257,8,32,83.92931102658235,32.47940848253547,0.008066187541272885,-0.035324023132673944,-44.18413522226358,-46.47044488660278
1292,-3,24,7.585963631031108,-7.750311094199257,0.01039394878793233,-0.037602423566444734,-50.19505268715634,-53.768078957801826
1323,-11,15,-60.75300271542449,75.40738404668572,-0.010197367498419345,-0.021012744583755363,-55.19763543021804,-60.27911854192181
1356,-22,5,115.46391825744476,21.237718171958594,-0.01636915395887492,-0.054567133129760234,-59.98665417342832,-67.06214773587362
1389,-36,-3,161.78233708580416,-60.44428819689379,0.0006741008547004325,-0.10018430685355964,-64.06193187627008,-73.48379094555706
1422,-46,-12,-129.77521742100043,33.25203851371058,-0.009003981375435658,-0.06241293157031605,-67.63730863141761,-79.9311851579909
1455,-58,-20,115.16367089543897,-26.059468020385165,-0.0015205405424394281,-0.09548423281800474,-70.50201413703873,-86.09657383872627
1489,-68,-31,-50.91782061072852,100.56971404078844,-0.0316697873888989,-0.0802198566872942,-72.75977249734774,-92.30885801960362
1522,-79,-38,101.72017924926504,-120.7043798259235,0.002360515678897666,-0.10889792564349329,-74.17890080566869,-97.92786843854763
1554,-89,-47,-0.5125988225891248,84.71964363773093,-0.021687446679919,-0.10875242270389751,-74.90428518974737,-103.35287852155946
1587,-99,-53,33.013662245733194,-108.49736657203758,0.009821659328610031,-0.11834003774282946,-74.90883730932107,-108.64858575334063
1620,-106,-61,-68.33141751350445,85.68727849692102,-0.014913688846721144,-0.09861480625970809,-74.17403023802936,-113.64427781419379
1653,-110,-65,-72.78315549963601,-139.4362289162335,0.02471160193986554,-0.07793113083722494,-72.73764371411069,-118.2891162647804
1686,-115,-73,70.57115251431932,153.76862546044137,-0.019982323162860666,-0.09844312927281922,-70.55111690154285,-122.74779349013622
1721,-119,-79,-3.168650917203615,-66.38746951595944,3.743573719666078e-05,-0.0974875931172257,-67.53903644560263,-127.04980456615212
1752,-119,-83,-114.10556761859654,-48.93895049729672,0.013470623885056085,-0.06616690595570654,-64.16588305611324,-130.6692125954084
1785,-118,-88,-6.774862119899807,39.91675894890749,0.001932321923487641,-0.06420857048594929,-59.99713768910073,-134.16621193226456
1818,-118,-92,67.80211357331928,-25.11196920883598,0.009166921863908408,-0.08374193175836361,-55.2532643662689,-137.3220555516304
1852,-115,-97,-80.45521745482272,46.18545484861388,-0.004355602649921556,-0.060185648641428745,-49.87755115528905,-140.1843322687887
1885,-111,-103,-14.731536624210689,55.3964773292689,-0.020302876317229233,-0.05594480414350381,-44.09946318235503,-142.65252878716373
1919,-106,-106,-10.386078741142732,-98.36360011161223,0.008751757489909542,-0.0528769648800608,-37.72270874302934,-144.82203608205813
1950,-100,-112,-34.97950851816641,145.52482128471962,-0.03143447347321618,-0.043217481392103685,-31.408314068039676,-146.5127971849801
1983,-93,-116,-21.78879396671346,-65.67914835124276,-0.013066574356225167,-0.03712400455039427,-24.72555396216902,-147.88869687664817
2017,-86,-121,27.157291217334134,42.94216884773219,-0.025803721783996578,-0.045179173426485496,-17.389600521479785,-148.9745767776987
2050,-79,-127,3.1658018793129568,61.361757015594925,-0.04350246699065533,-0.04609229462056215,-10.08199814704819,-149.65924600477496
2082,-71,-132,-33.11139558912511,-16.37874421411733,-0.03881588696335598,-0.03661786830219717,-2.7344828690684335,-149.97506498358987
2115,-61,-137,-75.99547945245678,20.75114451442698,-0.04472477904049191,-0.01497814206335902,4.603757436510199,-149.9292680395003
2150,-51,-142,25.3800337488973,6.272321001298636,-0.046658825389905796,-0.022803979039797764,12.498194285629996,-149.47473155395173
2181,-41,-150,-57.11317046449541,177.3009016097049,-0.09464678777069518,-0.007345824846475845,19.315041796003058,-148.72971877529628
2214,-29,-153,-58.82830432307353,-183.25200002677312,-0.04167880057099807,0.009658174399967275,26.409008065515735,-147.57876457592138
2248,-19,-157,62.65881319841134,57.19755943408584,-0.058261305003615364,-0.008507636482271137,33.262582753186535,-146.0584832980504
2281,-7,-162,-94.20116750127085,61.6350911511414,-0.07597489816710047,0.01856527158808426,39.73089458915442,-144.19349501872756
2314,2,-166,94.41973468093764,-14.142552254766626,-0.0719126411299421,-0.008555521373807768,45.8084709053965,-141.97801690774412
2348,14,-170,-104.90485193427787,15.305619853693903,-0.07655315946924862,0.023250631786710104,51.73832645651855,-139.26422462940533
2379,24,-171,3.658872343489888,-86.51215682092742,-0.05316222487277281,0.02226135528698558,56.55455800194605,-136.52491467889593
2412,33,-173,37.36723711404511,54.94426842550366,-0.06904447934429644,0.011459938037292054,61.16259850125192,-133.27038777072477
2446,44,-172,-98.12485378612416,-90.26000820562153,-0.04267494102958482,0.04012719769058248,65.20656421234257,-129.64687678638902
2479,52,-171,79.04169893129682,18.022655177779512,-0.047961498875166125,0.01694201717797363,68.60561723037063,-125.6799258103821
2511,59,-169,-9.200130164889787,-25.071995465189932,-0.04102067808485696,0.01948894068913476,71.17471885228561,-121.64284902986576
2544,65,-165,14.66480154333476,-59.222658907895855,-0.024158494087995648,0.015313501989468443,73.14489881721393,-117.20354715889593
2578,72,-161,-57.04016848721182,20.741283202189916,-0.030356171096701252,0.03235760371450354,74.45925302641166,-112.24302273174474
2611,78,-156,-8.904081772278804,-30.737064922611793,-0.021562218022670093,0.034905084336674226,74.98217852127202,-107.2158350438494
2644,83,-151,3.1017091294494157,12.952271763663488,-0.02527695085097128,0.03401550906082715,74.7789550557038,-101.91618261982188
2676,86,-145,40.94266452268005,-27.19781378824139,-0.017510299382334615,0.02232385589999667,73.85496602854289,-96.39339703069128
2710,89,-139,-30.30870921993651,16.876213872951134,-0.022466050914771187,0.03122410054572354,72.16324404642558,-90.4721035704483
2743,92,-133,-36.79218760256365,6.421409838255259,-0.024315163524993095,0.041818798558650186,69.79060980805372,-84.44170416306633
2777,94,-124,5.119076357498628,-88.52378704759697,0.00211570648304473,0.04029037725767808,66.60928337668922,-77.97083502276824
2809,94,-115,42.09895534048018,-20.22813540921108,0.007720498517412558,0.028625639763381627,63.02890529266391,-71.78175722154768
2842,95,-107,-68.78269027628109,54.035789403342775,-0.007706338375266048,0.04826261288153833,58.74246269836502,-65.2346104667267
2875,95,-100,7.400313555180042,45.8834359811973,-0.02086139183991597,0.04614089905623848,53.868882378705024,-58.501605647382135
2907,94,-90,9.671517181287841,-110.43821536995466,0.01066380400938293,0.04338011129560153,48.497012960587654,-51.656820135511744
2941,93,-82,-27.678959811120116,88.10832342185255,-0.015456952040824206,0.05158586676649089,42.42478473108495,-44.41672466777275
2974,90,-73,54.200243896601904,-47.00233773409333,-0.002098454173885934,0.03618165758488863,36.18929723012518,-37.367350033598136
